structure,a_count,a_percent,b_count,b_percent,delta,ratio
semiprime | balanced | mod4_1x1,210,0.19385927662795635,177,0.17402589741320826,-0.019833379214748093,0.90x
semiprime | mod4_2x2,1,0.0009231394125140779,0,0.0,-0.0009231394125140779,0.00x
semiprime | moderate | mod4_2x1,21,0.019385927662795635,0,0.0,-0.019385927662795635,0.00x
semiprime | mod4_1x1,60,0.055388364750844674,20,0.019663943210532008,-0.03572442154031266,0.36x
semiprime | moderate | mod4_1x1,7042,6.500747742924136,5940,5.840191133528006,-0.6605566093961297,0.90x
semiprime | lopsided | mod4_2x3,11023,10.17576574414268,9759,9.595021089579093,-0.5807446545635866,0.94x
semiprime | moderate | mod4_2x3,24,0.02215534590033787,0,0.0,-0.02215534590033787,0.00x
semiprime | moderate | mod4_3x3,8075,7.454350756051179,6169,6.065343283288597,-1.3890074727625814,0.81x
semiprime | mod4_3x3,65,0.06000406181341507,22,0.02163033753158521,-0.03837372428182986,0.36x
semiprime | lopsided | mod4_2x1,10975,10.131455052342005,9735,9.571424357726455,-0.5600306946155502,0.94x
semiprime | balanced | mod4_1x3,490,0.4523383121318981,381,0.37459811816063476,-0.07774019397126336,0.83x
semiprime | lopsided | mod4_1x3,27480,25.36787105588686,28538,28.058480567108123,2.6906095112212647,1.11x
semiprime | balanced | mod4_3x3,235,0.2169377619408083,184,0.18090827753689448,-0.03602948440391382,0.83x
semiprime | moderate | mod4_1x3,15102,13.941251407787606,12099,11.895702445211338,-2.0455489625762677,0.85x
semiprime | lopsided | mod4_3x3,17335,16.00262171593154,17810,17.510741428978754,1.5081197130472148,1.09x
semiprime | lopsided | mod4_1x1,10188,9.404944334693425,10875,10.69226912072678,1.2873247860333539,1.14x
