theta0,N,S_prop,MV,MV2,ratio_S_MV,ratio_MV2_S,ratio_x_egamma,inv_logN
0.1,10000,669,587.048,655.973,1.1396,1.019859,2.029711,0.108574
0.1,100000,8701,7821.89,8556.332,1.112391,1.016908,1.981249,0.086859
0.1,1000000,70202,64314.735,69279.578,1.091538,1.013314,1.944109,0.072382
0.1,10000000,736562,683932.873,729225.082,1.076951,1.010061,1.918127,0.062042
0.1,100000000,6322681,5934478.895,6275438.088,1.065415,1.007528,1.897581,0.054287
0.15,10000,1138,997.976,1117.559,1.140309,1.018291,2.030972,0.108574
0.15,100000,10961,9841.381,10779.74,1.113767,1.016815,1.983699,0.086859
0.15,1000000,101433,92735.569,100056.781,1.093787,1.013754,1.948115,0.072382
0.15,10000000,917605,850993.243,908227.375,1.078275,1.010325,1.920486,0.062042
0.15,100000000,8378629,7854123.14,8313723.755,1.066781,1.007807,1.900014,0.054287
0.2,10000,1439,1261.102,1415.303,1.141065,1.016743,2.03232,0.108574
0.2,100000,12634,11334.606,12429.047,1.11464,1.01649,1.985254,0.086859
0.2,1000000,117780,107535.014,116161.311,1.095271,1.013935,1.950757,0.072382
0.2,10000000,1107572,1025470.188,1095837.339,1.080063,1.010708,1.92367,0.062042
0.2,100000000,10130891,9482836.277,10049132.967,1.06834,1.008136,1.90279,0.054287
0.25,10000,1661,1457.755,1639.027,1.139423,1.013406,2.029395,0.108574
0.25,100000,15497,13869.343,15247.356,1.117356,1.016373,1.990093,0.086859
0.25,1000000,140735,128211.26,138766.983,1.09768,1.014182,1.955048,0.072382
0.25,10000000,1266789,1170912.572,1252933.848,1.081882,1.011058,1.92691,0.062042
0.25,100000000,11716642,10949296.503,11617988.796,1.070082,1.008491,1.905893,0.054287
0.3,10000,1943,1706.955,1925.234,1.138284,1.009228,2.027367,0.108574
0.3,100000,17691,15825.196,17438.24,1.117901,1.014495,1.991062,0.086859
0.3,1000000,157292,143068.478,155114.506,1.099418,1.014038,1.958142,0.072382
0.3,10000000,1425596,1315323.079,1409667.887,1.083837,1.011299,1.930392,0.062042
0.3,100000000,13186250,12301029.362,13070815.674,1.071963,1.008831,1.909244,0.054287
0.35,10000,2212,1954.764,2212.694,1.131594,0.999686,2.015452,0.108574
0.35,100000,19332,17307.765,19112.291,1.116955,1.011496,1.989378,0.086859
0.35,1000000,173428,157611.663,171214.12,1.10035,1.01293,1.959803,0.072382
0.35,10000000,1583533,1458758.829,1566289.084,1.085534,1.011009,1.933416,0.062042
0.35,100000000,14472531,13479782.743,14344402.134,1.073647,1.008932,1.912243,0.054287
0.4,10000,2373,2117.892,2404.21,1.120454,0.987019,1.99561,0.108574
0.4,100000,21115,19000.925,21039.962,1.111262,1.003566,1.979238,0.086859
0.4,1000000,190064,173097.788,188493.076,1.098015,1.008334,1.955645,0.072382
0.4,10000000,1717132,1582273.975,1702082.677,1.085231,1.008842,1.932874,0.062042
0.4,100000000,15717723,14630239.44,15594807.139,1.074331,1.007882,1.913462,0.054287
0.45,10000,2555,2345.811,2675.048,1.089176,0.955123,1.939901,0.108574
0.45,100000,22644,20724.119,23022.484,1.09264,0.98356,1.946071,0.086859
0.45,1000000,203375,187343.622,204534.898,1.085572,0.994329,1.933482,0.072382
0.45,10000000,1838071,1705600.42,1838706.965,1.077668,0.999654,1.919405,0.062042
0.45,100000000,16813835,15721844.788,16789544.9,1.069457,1.001447,1.90478,0.054287
