t,num_p_groups,obs_R,base_R,z_score,verdict
0.5,117,0.9529433812760767,0.8860477355313564,37.08541977978784,SIGNAL
1.0,117,0.8481997809103725,0.6919794510903898,43.99260519231039,SIGNAL
2.0,117,0.6420946797951499,0.43496332614399547,40.9955713850499,SIGNAL
3.0,117,0.5009559307937892,0.3091480796839321,39.82794691692826,SIGNAL
5.0,117,0.3396873086008197,0.19890871303349825,27.31084276460521,SIGNAL
7.0,117,0.2532486254719167,0.15210577221856772,21.743620264916842,SIGNAL
10.0,117,0.17828932145722826,0.11861712717087267,14.051867316834814,SIGNAL
14.134725,117,0.12394715333970283,0.09751606501932387,5.921996531770528,SIGNAL
21.02204,117,0.08202544139493984,0.08333426064592266,-0.3291871048092769,noise
25.010858,117,0.07189498249949454,0.08206861726014573,-2.4111125772022532,noise
30.424876,117,0.05969377943347621,0.07647309236636263,-4.200191290261449,noise
32.935062,117,0.05802046899710076,0.07469002987310767,-4.278830168265841,noise
