N,theta0,total_sp,lopsided,P,delta,llogN,product
100000000,0.1,17427258,6174647,0.3543097,0.6456903,2.913474,1.881202
100000000,0.15,17427258,8154941,0.4679417,0.5320583,2.913474,1.550138
100000000,0.2,17427258,9810552,0.5629429,0.4370571,2.913474,1.273354
100000000,0.25,17427258,11318538,0.6494733,0.3505267,2.913474,1.021251
100000000,0.3,17427258,12676779,0.727411,0.272589,2.913474,0.794181
100000000,0.35,17427258,13933034,0.7994966,0.2005034,2.913474,0.584161
100000000,0.4,17427258,15132766,0.8683389,0.1316611,2.913474,0.383591
100000000,0.45,17427258,16289445,0.9347107,0.0652893,2.913474,0.190219
200000000,0.1,33992717,11980385,0.3524398,0.6475602,2.950412,1.91057
200000000,0.15,33992717,15982549,0.4701757,0.5298243,2.950412,1.5632
200000000,0.2,33992717,19295937,0.5676492,0.4323508,2.950412,1.275613
200000000,0.25,33992717,22247817,0.6544878,0.3455122,2.950412,1.019403
200000000,0.3,33992717,24832764,0.7305319,0.2694681,2.950412,0.795042
200000000,0.35,33992717,27259172,0.8019121,0.1980879,2.950412,0.584441
200000000,0.4,33992717,29570438,0.8699051,0.1300949,2.950412,0.383834
200000000,0.45,33992717,31799157,0.9354697,0.0645303,2.950412,0.190391
500000000,0.1,82302116,30362933,0.3689204,0.6310796,2.997237,1.891495
500000000,0.15,82302116,39541544,0.4804438,0.5195562,2.997237,1.557233
500000000,0.2,82302116,47174918,0.573192,0.426808,2.997237,1.279245
500000000,0.25,82302116,54131205,0.6577134,0.3422866,2.997237,1.025914
500000000,0.3,82302116,60391664,0.7337802,0.2662198,2.997237,0.797924
500000000,0.35,82302116,66227309,0.8046854,0.1953146,2.997237,0.585404
500000000,0.4,82302116,71750485,0.8717939,0.1282061,2.997237,0.384264
500000000,0.45,82302116,77069293,0.9364193,0.0635807,2.997237,0.190566
1000000000,0.1,160788536,60852543,0.3784632,0.6215368,3.031257,1.884038
1000000000,0.15,160788536,77887717,0.4844109,0.5155891,3.031257,1.562883
1000000000,0.2,160788536,92635464,0.5761323,0.4238677,3.031257,1.284852
1000000000,0.25,160788536,106220891,0.6606248,0.3393752,3.031257,1.028734
1000000000,0.3,160788536,118425076,0.7365269,0.2634731,3.031257,0.798655
1000000000,0.35,160788536,129715193,0.806744,0.193256,3.031257,0.585808
1000000000,0.4,160788536,140383676,0.8730951,0.1269049,3.031257,0.384681
1000000000,0.45,160788536,150679999,0.9371315,0.0628685,3.031257,0.190571
